Model,Noise Type,SNR Level,MAE,MSE,COSINE,PRD,PSNR
DW_CNN,BW,0.0,0.29457074,0.1664831,0.8736535,86.22367,19.344099
ModelNet1,BW,0.0,0.5766733,0.5245519,-0.21109211,158.18814,14.073001
DNN_DAN,BW,0.0,0.14018507,0.057310496,0.9504361,43.28261,25.776243
FCN,BW,0.0,0.14268582,0.05856074,0.94825655,44.738583,25.496822
DW_CNN,EM,0.0,0.29335707,0.17298837,0.84299135,90.10523,18.691216
ModelNet1,EM,0.0,0.54675645,0.4900535,0.005677159,156.4361,13.984444
DNN_DAN,EM,0.0,0.17649859,0.080163054,0.9167501,57.73418,22.593018
FCN,EM,0.0,0.17769401,0.07273321,0.9159288,59.533905,22.358204
DW_CNN,MA,0.0,0.28338513,0.14035207,0.85990465,88.023415,19.20372
ModelNet1,MA,0.0,0.5341303,0.44179153,0.41445312,153.1252,14.436597
DNN_DAN,MA,0.0,0.15744424,0.050567616,0.9291145,53.988396,23.58127
FCN,MA,0.0,0.1616406,0.052448444,0.9269933,56.09134,23.259176
DW_CNN,BW,1.25,0.17574956,0.067012034,0.9315034,57.14679,23.20045
ModelNet1,BW,1.25,0.19052836,0.07694943,0.9257419,61.53631,22.57318
DNN_DAN,BW,1.25,0.13623308,0.05176663,0.9528288,41.978462,26.05803
FCN,BW,1.25,0.13230129,0.045854233,0.9556149,41.12064,26.237034
DW_CNN,EM,1.25,0.2104187,0.09555428,0.8992024,71.14127,20.882984
ModelNet1,EM,1.25,0.21796715,0.10013886,0.89403856,73.64378,20.570877
DNN_DAN,EM,1.25,0.16797449,0.069320016,0.9244084,54.80044,23.056519
FCN,EM,1.25,0.16452533,0.0629047,0.9262937,55.42867,22.967316
DW_CNN,MA,1.25,0.19537193,0.07024279,0.91301423,67.27858,21.723425
ModelNet1,MA,1.25,0.2017148,0.075148,0.9095997,69.355286,21.42365
DNN_DAN,MA,1.25,0.14858642,0.043999583,0.93514645,50.881355,24.130917
FCN,MA,1.25,0.14985676,0.04554875,0.9336323,52.960133,23.788363
DW_CNN,BW,5.0,0.14502688,0.046981096,0.94986165,46.76184,25.075232
ModelNet1,BW,5.0,0.1612734,0.054634716,0.9407723,52.426594,24.073149
DNN_DAN,BW,5.0,0.119685784,0.034818932,0.9626333,37.146145,27.159704
FCN,BW,5.0,0.12615503,0.0380142,0.9585153,40.30266,26.44348
DW_CNN,EM,5.0,0.16598198,0.056325797,0.93014234,57.08143,22.797125
ModelNet1,EM,5.0,0.17697178,0.061326932,0.9216868,61.023193,22.246319
DNN_DAN,EM,5.0,0.136766,0.040372487,0.94690996,44.9267,24.789204
FCN,EM,5.0,0.14178503,0.041487806,0.9437132,47.75721,24.296116
DW_CNN,MA,5.0,0.15686922,0.047988568,0.9347568,55.5342,23.439444
ModelNet1,MA,5.0,0.16384377,0.050679456,0.93071145,57.46388,23.116888
DNN_DAN,MA,5.0,0.12285915,0.029560503,0.95175993,42.383797,25.750822
FCN,MA,5.0,0.13101809,0.034242272,0.9468513,45.94133,25.054752
