Model,Noise Type,SNR Level,RMSE,SNR
DW_CNN,BW,0.0,0.35467634,5.2312064
ModelNet1,BW,0.0,0.6734022,-0.4847572
DNN_DAN,BW,0.0,0.17928527,11.663351
FCN,BW,0.0,0.18477966,11.38393
DW_CNN,EM,0.0,0.36091086,4.685044
ModelNet1,EM,0.0,0.59563977,0.4956047
DNN_DAN,EM,0.0,0.23097965,8.586845
FCN,EM,0.0,0.2321305,8.352031
DW_CNN,MA,0.0,0.34366393,5.0683894
ModelNet1,MA,0.0,0.7390125,-1.8191432
DNN_DAN,MA,0.0,0.20548409,9.445941
FCN,MA,0.0,0.21156898,9.123847
DW_CNN,BW,1.25,0.22558323,9.087559
ModelNet1,BW,1.25,0.24156088,8.460287
DNN_DAN,BW,1.25,0.17403148,11.945137
FCN,BW,1.25,0.16937691,12.124144
DW_CNN,EM,1.25,0.27039358,6.8768106
ModelNet1,EM,1.25,0.27938503,6.564706
DNN_DAN,EM,1.25,0.21822754,9.050344
FCN,EM,1.25,0.21610714,8.961143
DW_CNN,MA,1.25,0.24906334,7.588096
ModelNet1,MA,1.25,0.25753826,7.288322
DNN_DAN,MA,1.25,0.19217278,9.995588
FCN,MA,1.25,0.1983056,9.653031
DW_CNN,BW,5.0,0.18532881,10.962337
ModelNet1,BW,5.0,0.20440912,9.9602585
DNN_DAN,BW,5.0,0.15053159,13.04681
FCN,BW,5.0,0.16097888,12.330586
DW_CNN,EM,5.0,0.21490654,8.790953
ModelNet1,EM,5.0,0.22724523,8.240147
DNN_DAN,EM,5.0,0.17555854,10.7830305
FCN,EM,5.0,0.18281092,10.289944
DW_CNN,MA,5.0,0.20507896,9.304114
ModelNet1,MA,5.0,0.21181418,8.981561
DNN_DAN,MA,5.0,0.15872903,11.615495
FCN,MA,5.0,0.17154162,10.919422
